Date,All,Bin Fan,Calvin Jia,Andrew Audibert,Yupeng Fu,Haoyuan Li,Jiri Simsa,Gene Pang,Pei Sun,madanadit,cc,Chaomin Yu,haoyuan,Jan Hentschel,Yanqin Jin,Mingfei,David Capwell,bf8086,gjhkael,Henry Saputra,David Zhu,Shaoshan Liu,LuQQiu,Carson Wang,luoli,mbl,RongGu,Manu Goyal
Mon Nov 09 00:00:00 CST 2015,204,29,50,20,12,0,33,8,0,0,2,0,0,6,0,0,0,0,0,0,0,16,0,0,0,0,0,2
Mon Nov 16 00:00:00 CST 2015,329,12,36,66,20,3,29,32,0,0,0,0,0,23,0,0,0,0,0,0,0,67,0,0,0,0,0,5
Mon Nov 23 00:00:00 CST 2015,119,4,10,31,9,2,5,9,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Mon Nov 30 00:00:00 CST 2015,172,1,36,32,21,0,6,10,0,0,0,0,0,21,0,0,0,0,0,0,0,5,0,0,0,0,5,2
Mon Dec 07 00:00:00 CST 2015,156,13,20,49,31,0,2,2,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Mon Dec 14 00:00:00 CST 2015,283,44,24,40,76,0,5,12,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,5,0,10,0
Mon Dec 21 00:00:00 CST 2015,179,19,17,23,32,1,23,5,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,10,0,2,0
Mon Dec 28 00:00:00 CST 2015,303,86,31,21,63,3,16,0,0,0,0,0,7,31,0,0,0,0,0,0,0,0,0,0,15,0,0,0
Mon Jan 04 00:00:00 CST 2016,219,40,43,32,38,1,18,3,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,1,9,0,0,0
Mon Jan 11 00:00:00 CST 2016,359,60,42,43,41,1,37,16,0,0,15,0,5,22,0,2,0,0,0,0,0,0,0,0,18,0,0,0
Mon Jan 18 00:00:00 CST 2016,286,30,43,33,18,1,39,6,0,0,43,0,4,6,0,0,0,0,0,0,0,0,0,0,11,0,0,0
